001. calculadora-mmc | Calculadora de MMC | matematica | calcular mínimo múltiplo comum
376. calculadora-nota-enem-simples | Calculadora de Nota ENEM Simples | educacao | média ponderada básica
377. calculadora-nota-vestibular | Calculadora de Nota de Vestibular | educacao | média simples
378. calculadora-percentual-acertos | Calculadora de Percentual de Acertos | educacao | acertos por questões
379. calculadora-questoes-restantes | Calculadora de Questões Restantes | educacao | meta de questões
380. calculadora-tempo-por-questao | Calculadora de Tempo por Questão | educacao | planejamento de prova
381. calculadora-redacao-palavras | Calculadora de Palavras para Redação | educacao | contar e estimar tamanho
382. sorteador-alunos | Sorteador de Alunos | educacao | sorteio simples
383. sorteador-grupos | Sorteador de Grupos | educacao | dividir em grupos
384. gerador-tabuada | Gerador de Tabuada | educacao | tabuada personalizada
385. gerador-questoes-aleatorias | Gerador de Questões Aleatórias | educacao | números e operações
386. gerador-contas-matematica | Gerador de Contas de Matemática | educacao | operações básicas
387. gerador-palavras-soletrar | Gerador de Palavras para Soletrar | educacao | lista simples
388. gerador-lista-estudo | Gerador de Lista de Estudos | educacao | plano básico
389. calculadora-presenca-escolar | Calculadora de Presença Escolar | educacao | frequência
390. calculadora-faltas-maximas | Calculadora de Faltas Máximas | educacao | limite de faltas
391. calculadora-nota-minima | Calculadora de Nota Mínima para Aprovação | educacao | nota necessária
392. calculadora-media-bimestral | Calculadora de Média Bimestral | educacao | média por bimestre
393. calculadora-media-trimestral | Calculadora de Média Trimestral | educacao | média por trimestre
394. calculadora-horas-estudo | Calculadora de Horas de Estudo | educacao | total semanal/mensal
395. cronograma-provas | Gerador de Cronograma de Provas | educacao | agenda de provas
396. conversor-numeros-romanos-estudo | Conversor de Números Romanos Educacional | educacao | decimal e romano
397. gerador-alfabeto-fonetico | Gerador de Alfabeto Fonético | educacao | soletração
398. gerador-cartoes-estudo | Gerador de Flashcards Texto | educacao | pergunta e resposta
399. embaralhador-perguntas | Embaralhador de Perguntas | educacao | ordem aleatória
400. gerador-certificado-texto | Gerador de Texto de Certificado | educacao | modelo de certificado
401. gerador-recibo | Gerador de Recibo | administrativo | texto de recibo
402. gerador-declaracao-simples | Gerador de Declaração Simples | administrativo | modelo básico
403. gerador-contrato-simples | Gerador de Contrato Simples | administrativo | modelo básico
404. gerador-procuracao-simples | Gerador de Procuração Simples | administrativo | modelo básico
405. gerador-carta-formal | Gerador de Carta Formal | administrativo | texto formatado
406. gerador-oficio | Gerador de Ofício | administrativo | modelo simples
407. gerador-ata-reuniao | Gerador de Ata de Reunião | administrativo | texto estruturado
408. gerador-orcamento | Gerador de Orçamento | administrativo | itens e total
409. calculadora-reajuste-contrato | Calculadora de Reajuste de Contrato | administrativo | percentual de reajuste
410. calculadora-multa-contratual | Calculadora de Multa Contratual | administrativo | percentual sobre valor
411. calculadora-prazo-processual-simples | Calculadora de Prazo Processual Simples | administrativo | contagem básica de dias
412. contador-caracteres-documento | Contador de Caracteres para Documento | administrativo | limite de texto
413. formatador-cnpj | Formatador de CNPJ | administrativo | aplicar máscara
414. desformatador-cnpj | Desformatador de CNPJ | administrativo | remover máscara
415. formatador-cpf | Formatador de CPF | administrativo | aplicar máscara
416. desformatador-cpf | Desformatador de CPF | administrativo | remover máscara
417. formatador-cep | Formatador de CEP | administrativo | aplicar máscara
418. desformatador-cep | Desformatador de CEP | administrativo | remover máscara
419. formatador-telefone | Formatador de Telefone | administrativo | aplicar máscara
420. desformatador-telefone | Desformatador de Telefone | administrativo | remover máscara
421. gerador-numero-protocolo | Gerador de Número de Protocolo | administrativo | gerar protocolo
422. gerador-numero-pedido | Gerador de Número de Pedido | administrativo | gerar número
423. gerador-codigo-barras-fake | Gerador de Código de Barras Fake | administrativo | numeração simples
424. gerador-chave-pix-aleatoria | Gerador de Chave PIX Aleatória Fake | administrativo | valor de teste
425. formatador-moeda-brl | Formatador de Moeda BRL | administrativo | formatar número em real
426. gerador-paleta-cores | Gerador de Paleta de Cores | design | paletas aleatórias
427. conversor-hex-rgb | Conversor de HEX para RGB | design | converter cor
428. conversor-rgb-hex | Conversor de RGB para HEX | design | converter cor
429. conversor-rgb-hsl | Conversor de RGB para HSL | design | converter cor
430. conversor-hsl-rgb | Conversor de HSL para RGB | design | converter cor
431. seletor-cor-complementar | Gerador de Cor Complementar | design | cor oposta
432. seletor-cor-analogica | Gerador de Cores Análogas | design | combinação cromática
433. seletor-cor-triade | Gerador de Cores em Tríade | design | combinação cromática
434. gerador-gradiente-css | Gerador de Gradiente CSS | design | gradientes lineares
435. gerador-box-shadow-css | Gerador de Box Shadow CSS | design | sombra CSS
436. gerador-text-shadow-css | Gerador de Text Shadow CSS | design | sombra texto
437. gerador-border-radius-css | Gerador de Border Radius CSS | design | bordas arredondadas
438. gerador-clamp-css | Gerador de Clamp CSS | design | tipografia responsiva
439. gerador-grid-css | Gerador de Grid CSS | design | grid básico
440. gerador-flex-css | Gerador de Flex CSS | design | container flex
441. gerador-botao-css | Gerador de Botão CSS | design | botão estilizado
442. gerador-card-css | Gerador de Card CSS | design | bloco estilizado
443. gerador-loader-css | Gerador de Loader CSS | design | animação básica
444. gerador-aspect-ratio-css | Gerador de Aspect Ratio CSS | design | proporção
445. gerador-media-query | Gerador de Media Query | design | breakpoints
446. calculadora-contraste-cores | Calculadora de Contraste de Cores | design | contraste entre duas cores
447. verificador-legibilidade-cores | Verificador de Legibilidade de Cores | design | texto e fundo
448. gerador-favicon-texto | Gerador de Favicon Texto | design | favicon com letra
449. gerador-placeholder-avatar | Gerador de Avatar Placeholder | design | avatar com iniciais
450. gerador-padrao-xadrez-css | Gerador de Padrão Xadrez CSS | design | background pattern
451. gerador-numero-aleatorio | Gerador de Número Aleatório | utilitarios | random simples
452. gerador-numero-loteria | Gerador de Números de Loteria | utilitarios | números aleatórios sem repetição
453. sorteador-nomes | Sorteador de Nomes | utilitarios | sorteio em lista
454. sorteador-item-lista | Sorteador de Item da Lista | utilitarios | escolher um item
455. sorteador-times | Sorteador de Times | utilitarios | dividir equipes
456. lancador-moeda | Lançador de Moeda | utilitarios | cara ou coroa
457. rolagem-dado | Rolagem de Dado | utilitarios | dado de 6 faces
458. rolagem-dados-rpg | Rolagem de Dados RPG | utilitarios | d4 d6 d8 d10 d12 d20
459. gerador-senha-pin | Gerador de PIN | utilitarios | pin numérico
460. gerador-codigo-verificacao | Gerador de Código de Verificação | utilitarios | código numérico
461. gerador-codigo-cupom | Gerador de Código de Cupom | utilitarios | cupom aleatório
462. gerador-id-curto | Gerador de ID Curto | utilitarios | id alfanumérico
463. embaralhador-lista | Embaralhador de Lista | utilitarios | ordem aleatória
464. removedor-itens-duplicados-lista | Removedor de Duplicados da Lista | utilitarios | lista única
465. contador-itens-lista | Contador de Itens da Lista | utilitarios | total de linhas/itens
466. divisor-lista-em-blocos | Divisor de Lista em Blocos | utilitarios | grupos por tamanho
467. mesclador-listas | Mesclador de Listas | utilitarios | unir listas
468. intercalador-listas | Intercalador de Listas | utilitarios | alternar itens
469. gerador-codigo-morse | Gerador de Código Morse | utilitarios | texto para morse
470. decoder-codigo-morse | Decoder de Código Morse | utilitarios | morse para texto
471. gerador-nome-arquivo-seguro | Gerador de Nome de Arquivo Seguro | utilitarios | limpar nome
472. removedor-caracteres-especiais-arquivo | Removedor de Caracteres de Nome de Arquivo | utilitarios | sanitizar
473. gerador-resumo-lista | Gerador de Resumo de Lista | utilitarios | total e estatísticas simples
474. calculadora-percentual-lista | Calculadora Percentual em Lista | utilitarios | percentual por item
475. gerador-linha-do-tempo-texto | Gerador de Linha do Tempo em Texto | utilitarios | eventos em sequência
476. leitor-csv-basico | Leitor CSV Básico | dados | parsear csv em tabela
477. leitor-json-basico | Leitor JSON Básico | dados | parsear json em tabela
478. leitor-xml-basico | Leitor XML Básico | dados | parsear xml em árvore simples
479. json-para-tabela-html | JSON para Tabela HTML | dados | tabela visual
480. csv-para-tabela-html | CSV para Tabela HTML | dados | tabela visual
481. xml-para-tabela-html | XML para Tabela HTML | dados | tabela visual simples
482. tabela-html-para-json | Tabela HTML para JSON | dados | extrair estrutura
483. tabela-html-para-csv | Tabela HTML para CSV | dados | extrair estrutura
484. gerador-tabela-html | Gerador de Tabela HTML | dados | tabela a partir de colunas/linhas
485. gerador-markdown-table | Gerador de Tabela Markdown | dados | tabela markdown
486. markdown-table-para-html | Markdown Table para HTML | dados | converter tabela
487. html-para-markdown-table | HTML para Markdown Table | dados | converter tabela
488. removedor-colunas-csv | Removedor de Colunas CSV | dados | selecionar colunas
489. extrator-colunas-csv | Extrator de Colunas CSV | dados | selecionar colunas
490. inversor-linhas-colunas | Inversor de Linhas e Colunas | dados | transpor tabela
491. gerador-matriz-aleatoria | Gerador de Matriz Aleatória | dados | matriz numérica
492. somador-colunas | Somador de Colunas | dados | somatório por coluna
493. media-colunas | Média de Colunas | dados | média por coluna
494. contador-registros | Contador de Registros | dados | contar linhas/tabela
495. gerador-indice-array-js | Gerador de Array JS | dados | lista para código
496. gerador-indice-array-php | Gerador de Array PHP | dados | lista para código
497. gerador-objeto-json | Gerador de Objeto JSON | dados | chave valor
498. parser-chave-valor | Parser de Chave=Valor | dados | converter em estrutura
499. conversor-chave-valor-json | Conversor Chave=Valor para JSON | dados | converter estrutura
500. conversor-json-chave-valor | Conversor JSON para Chave=Valor | dados | converter estrutura
